headword	pos	band	source	note
apart	adv	1	defining	votes 3
apartment	n	1	defining	votes 1
apologize	v	1	defining	votes 1
app	abbr	1	defining	votes 2
appeal	n	1	defining	votes 2
appeal	v	1	defining	votes 2
appear	v	1	defining	votes 2
appearance	n	1	defining	votes 2
appointment	n	1	defining	votes 2
area	n	1	defining	votes 3
argue	v	1	defining	votes 3
argument	n	1	defining	votes 3
arm	n	1	defining	votes 3
army	n	1	defining	votes 3
around	adv	1	defining	votes 2
around	prep	1	defining	votes 3
arrest	n	1	defining	votes 3
arrest	v	1	defining	votes 3
arrive	v	1	defining	votes 3
art	n	1	defining	votes 3
artist	n	1	defining	votes 2
as	conj	1	defining	votes 3
as	prep	1	defining	votes 3
ash	n	1	defining	votes 1
ashamed	adj	1	defining	votes 2
ask	v	1	defining	votes 3
asleep	adj	1	defining	votes 3
assume	v	1	defining	votes 2
at	prep	1	defining	votes 3
attack	n	1	defining	votes 3
attack	v	1	defining	votes 3
attempt	n	1	defining	votes 1
attention	n	1	defining	votes 2
attitude	n	1	defining	votes 2
audience	n	1	defining	votes 2
aunt	n	1	defining	votes 3
author	n	1	defining	votes 1
authority	n	1	defining	votes 2
automatic	adj	1	defining	votes 1
autumn	n	1	defining	votes 3
available	adj	1	defining	votes 1
average	adj	1	defining	votes 1
awake	adj	1	defining	votes 3
aware	adj	1	defining	votes 3
away	adv	1	defining	votes 3
baby	n	1	defining	votes 3
back	adv	1	defining	votes 3
back	n	1	defining	votes 3
backward	adv	1	defining	votes 2
bacteria	n	1	defining	votes 1
bad	adj	1	defining	votes 2
badly	adv	1	defining	votes 3
bag	n	1	defining	votes 3
bake	v	1	defining	votes 2
bald	adj	1	defining	votes 2
ball	n	1	defining	votes 3
band	n	1	defining	votes 2
bandage	n	1	defining	votes 2
bank	n	1	defining	votes 2
barely	adv	1	defining	votes 2
bark	n	1	defining	votes 1
basic	adj	1	defining	votes 2
basically	adv	1	defining	votes 1
basis	n	1	defining	votes 1
basket	n	1	defining	votes 2
bath	n	1	defining	votes 2
bathroom	n	1	defining	votes 2
battery	n	1	defining	votes 1
battle	n	1	defining	votes 1
be	aux	1	defining	votes 3
be	v	1	defining	votes 3
beach	n	1	defining	votes 1
beak	n	1	defining	votes 2
bean	n	1	defining	votes 2
beard	n	1	defining	votes 1
beat	n	1	defining	votes 3
beat	v	1	defining	votes 3
beautiful	adj	1	defining	votes 3
beauty	n	1	defining	votes 3
because	conj	1	defining	votes 3
become	v	1	defining	votes 3
bed	n	1	defining	votes 2
bedroom	n	1	defining	votes 2
bee	n	1	defining	votes 1
beer	n	1	defining	votes 2
before	adv	1	defining	votes 2
before	conj	1	defining	votes 3
before	prep	1	defining	votes 3
begin	v	1	defining	votes 3
beginning	n	1	defining	votes 3
behavior	n	1	defining	votes 2
behind	prep	1	defining	votes 3
belief	n	1	defining	votes 3
believe	v	1	defining	votes 3
belong	v	1	defining	votes 2
belong to	phrv	1	defining	votes 2
below	prep	1	defining	votes 3
belt	n	1	defining	votes 3
bench	n	1	defining	votes 1
bend	v	1	defining	votes 3
benefit	n	1	defining	votes 2
bent	adj	1	defining	votes 1
berry	n	1	defining	votes 1
beside	prep	1	defining	votes 3
between	prep	1	defining	votes 3
beyond	prep	1	defining	votes 3
bicycle	n	1	defining	votes 1
big	adj	1	defining	votes 3
bike	n	1	defining	votes 2
bill	n	1	defining	votes 2
bind	v	1	defining	votes 1
bio-	comb	1	defining	votes 2
bird	n	1	defining	votes 2
birth	n	1	defining	votes 3
birthday	n	1	defining	votes 1
bit	n	1	defining	votes 1
bite	v	1	defining	votes 2
bitter	adj	1	defining	votes 2
black	adj	1	defining	votes 2
blade	n	1	defining	votes 1
blame	n	1	defining	votes 1
blanket	n	1	defining	votes 1
bleed	v	1	defining	votes 3
blind	adj	1	defining	votes 3
block	n	1	defining	votes 1
blood	n	1	defining	votes 3
blow	v	1	defining	votes 2
blue	adj	1	defining	votes 2
blunt	adj	1	defining	votes 1
board	v	1	defining	votes 2
boat	n	1	defining	votes 3
body	n	1	defining	votes 3
boil	v	1	defining	votes 3
bold	adj	1	defining	votes 1
bomb	n	1	defining	votes 1
bone	n	1	defining	votes 3
book	n	1	defining	votes 3
boot	n	1	defining	votes 2
bore	v	1	defining	votes 3
bored	adj	1	defining	votes 3
born	adj	1	defining	votes 3
borrow	v	1	defining	votes 1
boss	n	1	defining	votes 3
both	det	1	defining	votes 3
both	pron	1	defining	votes 2
bottle	n	1	defining	votes 2
bottom	n	1	defining	votes 3
bowl	n	1	defining	votes 3
box	n	1	defining	votes 2
boy	n	1	defining	votes 3
brain	n	1	defining	votes 3
branch	n	1	defining	votes 2
brave	adj	1	defining	votes 3
bread	n	1	defining	votes 2
break	n	1	defining	votes 3
break	v	1	defining	votes 3
break down	phrv	1	defining	votes 3
break up	phrv	1	defining	votes 3
breakfast	n	1	defining	votes 3
breath	n	1	defining	votes 1
breathe	v	1	defining	votes 2
breed	v	1	defining	votes 2
bridge	n	1	defining	votes 3
brief	adj	1	defining	votes 1
briefly	adv	1	defining	votes 1
bright	adj	1	defining	votes 3
bring	v	1	defining	votes 3
bring about	phrv	1	defining	votes 1
bring back	phrv	1	defining	votes 1
bring up	phrv	1	defining	votes 3
broom	n	1	defining	votes 1
brother	n	1	defining	votes 3
brown	adj	1	defining	votes 1
bruise	n	1	defining	votes 2
brush	n	1	defining	votes 3
brush	v	1	defining	votes 3
bucket	n	1	defining	votes 1
bug	n	1	defining	votes 1
build	v	1	defining	votes 3
building	n	1	defining	votes 3
burn	n	1	defining	votes 3
burn	v	1	defining	votes 3
bury	v	1	defining	votes 1
bus	n	1	defining	votes 3
bush	n	1	defining	votes 2
business	n	1	defining	votes 2
busy	adj	1	defining	votes 3
but	conj	1	defining	votes 3
butter	n	1	defining	votes 2
button	n	1	defining	votes 3
button	v	1	defining	votes 2
buy	v	1	defining	votes 3
by	prep	1	defining	votes 3
bye	interj	1	defining	votes 3
cabinet	n	1	defining	votes 1
cable	n	1	defining	votes 1
cake	n	1	defining	votes 2
calculate	v	1	defining	votes 1
calendar	n	1	defining	votes 2
call	v	1	defining	votes 3
call off	phrv	1	defining	votes 2
calm	adj	1	defining	votes 3
calm	v	1	defining	votes 3
calm down	phrv	1	defining	votes 1
camera	n	1	defining	votes 2
can	modal	1	defining	votes 3
cancer	n	1	defining	votes 2
candy	n	1	defining	votes 1
capital	n	1	defining	votes 1
car	n	1	defining	votes 3
card	n	1	defining	votes 1
care	n	1	defining	votes 3
care	v	1	defining	votes 3
career	n	1	defining	votes 1
careful	adj	1	defining	votes 3
carefully	adv	1	defining	votes 3
careless	adj	1	defining	votes 3
carpet	n	1	defining	votes 2
carry	v	1	defining	votes 3
carry on	phrv	1	defining	votes 3
carry out	phrv	1	defining	votes 1
cartoon	n	1	defining	votes 1
case	n	1	defining	votes 2
cash	n	1	defining	votes 2
cat	n	1	defining	votes 1
catch	v	1	defining	votes 3
catch up	phrv	1	defining	votes 2
cattle	n	1	defining	votes 1
cause	n	1	defining	votes 3
cause	v	1	defining	votes 3
cave	n	1	defining	votes 1
ceiling	n	1	defining	votes 1
celebrate	v	1	defining	votes 1
cell	n	1	defining	votes 1
center	n	1	defining	votes 2
central	adj	1	defining	votes 1
century	n	1	defining	votes 2
certain	adj	1	defining	votes 3
certainly	adv	1	defining	votes 3
chain	n	1	defining	votes 1
chair	n	1	defining	votes 3
chance	n	1	defining	votes 2
change	n	1	defining	votes 3
change	v	1	defining	votes 3
chapter	n	1	defining	votes 1
character	n	1	defining	votes 3
charge	n	1	defining	votes 2
charge	v	1	defining	votes 2
cheap	adj	1	defining	votes 2
check	v	1	defining	votes 2
check out	phrv	1	defining	votes 2
cheese	n	1	defining	votes 2
chemical	adj	1	defining	votes 1
chest	n	1	defining	votes 3
chew	v	1	defining	votes 2
chicken	n	1	defining	votes 3
child	n	1	defining	votes 3
choice	n	1	defining	votes 3
choose	v	1	defining	votes 3
chop	v	1	defining	votes 2
church	n	1	defining	votes 3
circle	n	1	defining	votes 2
citizen	n	1	defining	votes 3
city	n	1	defining	votes 2
claim	n	1	defining	votes 1
class	n	1	defining	votes 2
claw	n	1	defining	votes 2
clay	n	1	defining	votes 2
clean	adj	1	defining	votes 3
clean	v	1	defining	votes 3
clean up	phrv	1	defining	votes 2
clear	adj	1	defining	votes 3
clear up	phrv	1	defining	votes 1
clearly	adv	1	defining	votes 3
clever	adj	1	defining	votes 3
client	n	1	defining	votes 1
climate	n	1	defining	votes 1
climb	v	1	defining	votes 2
clinic	n	1	defining	votes 2
clock	n	1	defining	votes 3
close	adj	1	defining	votes 3
close	v	1	defining	votes 3
closed	adj	1	defining	votes 3
closely	adv	1	defining	votes 1
closet	n	1	defining	votes 2
cloth	n	1	defining	votes 3
clothes	n	1	defining	votes 3
cloud	n	1	defining	votes 2
club	n	1	defining	votes 1
cm	abbr	1	defining	votes 2
co-	prefix	1	defining	votes 2
coast	n	1	defining	votes 2
coat	n	1	defining	votes 3
code	n	1	defining	votes 1
coffee	n	1	defining	votes 2
coin	n	1	defining	votes 2
cold	adj	1	defining	votes 3
cold	n	1	defining	votes 2
colleague	n	1	defining	votes 1
collect	v	1	defining	votes 1
college	n	1	defining	votes 1
color	n	1	defining	votes 3
comb	n	1	defining	votes 3
comb	v	1	defining	votes 2
come	v	1	defining	votes 3
come back	phrv	1	defining	votes 3
come from	phrv	1	defining	votes 2
come in	phrv	1	defining	votes 3
come on	phrv	1	defining	votes 1
come out	phrv	1	defining	votes 1
come up with	phrv	1	defining	votes 1
comfort	n	1	defining	votes 3
comfort	v	1	defining	votes 3
comfortable	adj	1	defining	votes 3
commercial	adj	1	defining	votes 1
common	adj	1	defining	votes 2
commonly	adv	1	defining	votes 1
communicate	v	1	defining	votes 1
community	n	1	defining	votes 3
company	n	1	defining	votes 2
compare	v	1	defining	votes 2
comparison	n	1	defining	votes 3
compete	v	1	defining	votes 1
competition	n	1	defining	votes 2
complete	adj	1	defining	votes 2
completely	adv	1	defining	votes 2
complex	adj	1	defining	votes 2
computer	n	1	defining	votes 1
concert	n	1	defining	votes 1
conclude	v	1	defining	votes 1
conclusion	n	1	defining	votes 1
condition	n	1	defining	votes 3
confidence	n	1	defining	votes 2
confident	adj	1	defining	votes 2
conflict	n	1	defining	votes 1
confuse	v	1	defining	votes 2
confused	adj	1	defining	votes 2
confusion	n	1	defining	votes 2
congratulations	interj	1	defining	votes 1
connect	v	1	defining	votes 2
connected	adj	1	defining	votes 1
connection	n	1	defining	votes 2
conscious	adj	1	defining	votes 3
consider	v	1	defining	votes 3
consist	v	1	defining	votes 1
consist of	phrv	1	defining	votes 1
contain	v	1	defining	votes 2
container	n	1	defining	votes 1
contest	n	1	defining	votes 1
continue	v	1	defining	votes 2
contract	n	1	defining	votes 1
control	n	1	defining	votes 3
control	v	1	defining	votes 3
convenient	adj	1	defining	votes 1
conversation	n	1	defining	votes 2
cook	v	1	defining	votes 3
cooked	adj	1	defining	votes 1
cool	adj	1	defining	votes 3
cool	v	1	defining	votes 3
copy	n	1	defining	votes 2
copy	v	1	defining	votes 2
corn	n	1	defining	votes 2
corner	n	1	defining	votes 3
correct	adj	1	defining	votes 2
correctly	adv	1	defining	votes 1
cost	n	1	defining	votes 2
cost	v	1	defining	votes 2
cotton	n	1	defining	votes 1
cough	n	1	defining	votes 2
cough	v	1	defining	votes 2
could	modal	1	defining	votes 2
council	n	1	defining	votes 1
count	v	1	defining	votes 1
country	n	1	defining	votes 3
couple	n	1	defining	votes 3
courage	n	1	defining	votes 3
course	n	1	defining	votes 1
court	n	1	defining	votes 3
cousin	n	1	defining	votes 3
cover	v	1	defining	votes 2
cow	n	1	defining	votes 1
crack	n	1	defining	votes 1
crash	n	1	defining	votes 3
crash	v	1	defining	votes 3
create	v	1	defining	votes 2
creative	adj	1	defining	votes 2
creature	n	1	defining	votes 1
credit	n	1	defining	votes 2
crime	n	1	defining	votes 3
criminal	adj	1	defining	votes 3
criminal	n	1	defining	votes 3
crop	n	1	defining	votes 2
cross	v	1	defining	votes 3
crowd	n	1	defining	votes 2
crowded	adj	1	defining	votes 1
cruel	adj	1	defining	votes 3
cruelty	n	1	defining	votes 2
crush	v	1	defining	votes 1
cry	n	1	defining	votes 1
cup	n	1	defining	votes 3
cupboard	n	1	defining	votes 1
cure	v	1	defining	votes 3
curious	adj	1	defining	votes 1
curly	adj	1	defining	votes 1
current	adj	1	defining	votes 1
curtain	n	1	defining	votes 2
curved	adj	1	defining	votes 2
custom	n	1	defining	votes 1
customer	n	1	defining	votes 2
cut	n	1	defining	votes 3
cut	v	1	defining	votes 3
cut down	phrv	1	defining	votes 1
cut off	phrv	1	defining	votes 2
daily	adj	1	defining	votes 3
daily	adv	1	defining	votes 2
damage	n	1	defining	votes 3
damage	v	1	defining	votes 2
dance	n	1	defining	votes 3
dance	v	1	defining	votes 3
danger	n	1	defining	votes 2
dangerous	adj	1	defining	votes 2
dare	modal	1	defining	votes 1
dark	adj	1	defining	votes 3
dark	n	1	defining	votes 2
data	n	1	defining	votes 2
date	n	1	defining	votes 3
date	v	1	defining	votes 2
daughter	n	1	defining	votes 3
day	n	1	defining	votes 3
de-	prefix	1	defining	votes 2
dead	adj	1	defining	votes 3
deaf	adj	1	defining	votes 3
deal	n	1	defining	votes 1
deal with	phrv	1	defining	votes 2
death	n	1	defining	votes 3
debate	n	1	defining	votes 1
debt	n	1	defining	votes 2
decade	n	1	defining	votes 2
decay	v	1	defining	votes 1
decide	v	1	defining	votes 3
decision	n	1	defining	votes 3
decrease	n	1	defining	votes 2
decrease	v	1	defining	votes 3
deep	adj	1	defining	votes 3
deeply	adv	1	defining	votes 2
defend	v	1	defining	votes 3
defense	n	1	defining	votes 2
define	v	1	defining	votes 2
definitely	adv	1	defining	votes 3
definition	n	1	defining	votes 2
degree	n	1	defining	votes 3
delay	n	1	defining	votes 1
delete	v	1	defining	votes 1
delicious	adj	1	defining	votes 1
deliver	v	1	defining	votes 1
demand	n	1	defining	votes 1
democracy	n	1	defining	votes 1
deodorant	n	1	defining	votes 2
department	n	1	defining	votes 1
depend	v	1	defining	votes 1
depend on	phrv	1	defining	votes 2
dept.	abbr	1	defining	votes 2
depth	n	1	defining	votes 3
describe	v	1	defining	votes 2
description	n	1	defining	votes 1
desert	n	1	defining	votes 1
design	n	1	defining	votes 1
desire	n	1	defining	votes 3
desire	v	1	defining	votes 3
desk	n	1	defining	votes 2
despite	prep	1	defining	votes 3
destroy	v	1	defining	votes 2
destruction	n	1	defining	votes 1
detail	n	1	defining	votes 1
develop	v	1	defining	votes 1
development	n	1	defining	votes 1
device	n	1	defining	votes 1
diagnose	v	1	defining	votes 2
dictionary	n	1	defining	votes 1
die	v	1	defining	votes 3
difference	n	1	defining	votes 2
different	adj	1	defining	votes 3
differently	adv	1	defining	votes 2
difficult	adj	1	defining	votes 2
difficulty	n	1	defining	votes 1
digital	adj	1	defining	votes 1
dinner	n	1	defining	votes 3
direct	adj	1	defining	votes 3
direction	n	1	defining	votes 2
directly	adv	1	defining	votes 2
dirt	n	1	defining	votes 3
dirty	adj	1	defining	votes 3
dis-	prefix	1	defining	votes 2
disability	n	1	defining	votes 1
disabled	adj	1	defining	votes 2
disadvantage	n	1	defining	votes 1
disagree	v	1	defining	votes 3
disappear	v	1	defining	votes 1
disappoint	v	1	defining	votes 1
disappointed	adj	1	defining	votes 1
disappointment	n	1	defining	votes 1
discount	n	1	defining	votes 2
discover	v	1	defining	votes 2
discovery	n	1	defining	votes 1
discuss	v	1	defining	votes 1
discussion	n	1	defining	votes 3
disease	n	1	defining	votes 3
disgust	n	1	defining	votes 1
dish	n	1	defining	votes 3
dishonest	adj	1	defining	votes 1
dislike	v	1	defining	votes 1
display	n	1	defining	votes 1
dissolve	v	1	defining	votes 1
distance	n	1	defining	votes 3
distant	adj	1	defining	votes 1
divide	v	1	defining	votes 1
divorce	n	1	defining	votes 3
divorce	v	1	defining	votes 3
divorced	adj	1	defining	votes 1
do	aux	1	defining	votes 3
do	v	1	defining	votes 3
doctor	n	1	defining	votes 3
dog	n	1	defining	votes 1
domestic	adj	1	defining	votes 2
door	n	1	defining	votes 2
dose	n	1	defining	votes 2
double	adj	1	defining	votes 2
doubt	n	1	defining	votes 3
doubt	v	1	defining	votes 3
down	adv	1	defining	votes 3
down	prep	1	defining	votes 3
download	n	1	defining	votes 1
downstairs	adv	1	defining	votes 1
draw	v	1	defining	votes 3
drawer	n	1	defining	votes 2
dream	n	1	defining	votes 3
dream	v	1	defining	votes 3
dress	n	1	defining	votes 3
dress	v	1	defining	votes 3
drill	n	1	defining	votes 1
drink	n	1	defining	votes 2
drink	v	1	defining	votes 3
drive	n	1	defining	votes 3
drive	v	1	defining	votes 3
driver	n	1	defining	votes 3
drop	v	1	defining	votes 3
drug	n	1	defining	votes 3
drum	n	1	defining	votes 1
drunk	adj	1	defining	votes 1
dry	adj	1	defining	votes 3
dry	v	1	defining	votes 3
duck	n	1	defining	votes 2
dull	adj	1	defining	votes 2
dumb	adj	1	defining	votes 2
during	prep	1	defining	votes 3
dust	n	1	defining	votes 3
duty	n	1	defining	votes 3
e.g.	abbr	1	defining	votes 3
each	det	1	defining	votes 3
each	pron	1	defining	votes 2
ear	n	1	defining	votes 3
early	adj	1	defining	votes 3
early	adv	1	defining	votes 3
earn	v	1	defining	votes 2
earth	n	1	defining	votes 2
easily	adv	1	defining	votes 3
easy	adj	1	defining	votes 2
eat	v	1	defining	votes 3
echo	n	1	defining	votes 2
economic	adj	1	defining	votes 1
economy	n	1	defining	votes 1
edge	n	1	defining	votes 3
effect	n	1	defining	votes 3
effective	adj	1	defining	votes 1
effectively	adv	1	defining	votes 1
effort	n	1	defining	votes 1
egg	n	1	defining	votes 3
eight	num	1	defining	votes 3
either	det	1	defining	votes 2
either	pron	1	defining	votes 2
elderly	adj	1	defining	votes 1
elect	v	1	defining	votes 3
election	n	1	defining	votes 2
electric	adj	1	defining	votes 1
electricity	n	1	defining	votes 1
electronic	adj	1	defining	votes 1
else	adv	1	defining	votes 1
email	n	1	defining	votes 1
emergency	n	1	defining	votes 3
emotion	n	1	defining	votes 3
emotional	adj	1	defining	votes 1
employ	v	1	defining	votes 2
employee	n	1	defining	votes 3
employer	n	1	defining	votes 2
empty	adj	1	defining	votes 3
empty	v	1	defining	votes 3
en-	prefix	1	defining	votes 1
encourage	v	1	defining	votes 1
end	n	1	defining	votes 3
end	v	1	defining	votes 3
end up	phrv	1	defining	votes 2
enemy	n	1	defining	votes 3
energy	n	1	defining	votes 2
engine	n	1	defining	votes 3
enjoy	v	1	defining	votes 3
enjoyment	n	1	defining	votes 1
enough	adv	1	defining	votes 3
enough	det	1	defining	votes 3
enter	v	1	defining	votes 3
entertain	v	1	defining	votes 1
entrance	n	1	defining	votes 1
envy	n	1	defining	votes 3
envy	v	1	defining	votes 3
equal	adj	1	defining	votes 3
equality	n	1	defining	votes 1
equipment	n	1	defining	votes 1
error	n	1	defining	votes 2
escape	n	1	defining	votes 1
especially	adv	1	defining	votes 3
etc.	abbr	1	defining	votes 3
even	adv	1	defining	votes 3
evening	n	1	defining	votes 3
event	n	1	defining	votes 2
eventually	adv	1	defining	votes 1
ever	adv	1	defining	votes 3
every	det	1	defining	votes 3
everybody	pron	1	defining	votes 1
everyone	pron	1	defining	votes 1
everything	pron	1	defining	votes 1
everywhere	adv	1	defining	votes 2
evidence	n	1	defining	votes 2
ex-	prefix	1	defining	votes 2
exact	adj	1	defining	votes 1
exactly	adv	1	defining	votes 3
examine	v	1	defining	votes 2
example	n	1	defining	votes 3
except	prep	1	defining	votes 3
exchange	n	1	defining	votes 1
excite	v	1	defining	votes 2
excited	adj	1	defining	votes 3
excitement	n	1	defining	votes 2
excuse me	phr	1	defining	votes 3
exercise	n	1	defining	votes 2
exercise	v	1	defining	votes 2
exist	v	1	defining	votes 2
exit	n	1	defining	votes 1
expand	v	1	defining	votes 1
expect	v	1	defining	votes 3
expensive	adj	1	defining	votes 2
experience	n	1	defining	votes 2
experiment	n	1	defining	votes 2
expert	adj	1	defining	votes 1
explain	v	1	defining	votes 3
explanation	n	1	defining	votes 2
express	v	1	defining	votes 1
extremely	adv	1	defining	votes 1
eye	n	1	defining	votes 3
fabric	n	1	defining	votes 1
face	n	1	defining	votes 3
fact	n	1	defining	votes 3
factory	n	1	defining	votes 2
failure	n	1	defining	votes 2
fair	adj	1	defining	votes 3
fairly	adv	1	defining	votes 1
faith	n	1	defining	votes 1
fall	n	1	defining	votes 2
fall	v	1	defining	votes 3
fall down	phrv	1	defining	votes 2
fall over	phrv	1	defining	votes 2
false	adj	1	defining	votes 3
familiar	adj	1	defining	votes 1
family	n	1	defining	votes 3
fan	n	1	defining	votes 1
far	adj	1	defining	votes 2
far	adv	1	defining	votes 3
farm	n	1	defining	votes 2
farm	v	1	defining	votes 2
fashion	n	1	defining	votes 1
fast	adj	1	defining	votes 3
fast	adv	1	defining	votes 3
fasten	v	1	defining	votes 1
fat	adj	1	defining	votes 3
fat	n	1	defining	votes 2
father	n	1	defining	votes 3
fault	n	1	defining	votes 2
fear	n	1	defining	votes 3
fear	v	1	defining	votes 2
feather	n	1	defining	votes 2
fee	n	1	defining	votes 2
feed	v	1	defining	votes 3
feel	v	1	defining	votes 3
feeling	n	1	defining	votes 3
female	adj	1	defining	votes 2
fence	n	1	defining	votes 1
festival	n	1	defining	votes 1
fever	n	1	defining	votes 3
few	det	1	defining	votes 3
field	n	1	defining	votes 3
fight	n	1	defining	votes 3
fight	v	1	defining	votes 3
figure	n	1	defining	votes 1
figure out	phrv	1	defining	votes 1
file	n	1	defining	votes 1
fill	v	1	defining	votes 3
fill in	phrv	1	defining	votes 2
fill up	phrv	1	defining	votes 2
film	n	1	defining	votes 3
final	adj	1	defining	votes 2
finally	adv	1	defining	votes 3
finance	n	1	defining	votes 1
financial	adj	1	defining	votes 1
find	v	1	defining	votes 3
find out	phrv	1	defining	votes 3
fine	adj	1	defining	votes 1
finger	n	1	defining	votes 2
fire	n	1	defining	votes 3
fire	v	1	defining	votes 2
firm	n	1	defining	votes 2
first	adj	1	defining	votes 3
first	adv	1	defining	votes 3
first	num	1	defining	votes 2
fish	n	1	defining	votes 3
fit	adj	1	defining	votes 2
fit	v	1	defining	votes 3
five	num	1	defining	votes 3
fix	v	1	defining	votes 2
flame	n	1	defining	votes 1
flash	v	1	defining	votes 2
flat	adj	1	defining	votes 3
flavor	n	1	defining	votes 2
flexible	adj	1	defining	votes 2
flight	n	1	defining	votes 1
float	v	1	defining	votes 1
flood	n	1	defining	votes 1
floor	n	1	defining	votes 2
flow	v	1	defining	votes 2
flower	n	1	defining	votes 3
flu	n	1	defining	votes 2
fly	v	1	defining	votes 3
focus	n	1	defining	votes 2
focus	v	1	defining	votes 2
fog	n	1	defining	votes 1
fold	v	1	defining	votes 3
folder	n	1	defining	votes 1
follow	v	1	defining	votes 3
following	adj	1	defining	votes 1
food	n	1	defining	votes 3
fool	n	1	defining	votes 1
foolish	adj	1	defining	votes 1
foot	n	1	defining	votes 3
for	prep	1	defining	votes 3
for example	phr	1	defining	votes 1
force	n	1	defining	votes 2
force	v	1	defining	votes 2
foreign	adj	1	defining	votes 3
forest	n	1	defining	votes 2
forever	adv	1	defining	votes 1
forget	v	1	defining	votes 3
forgive	v	1	defining	votes 2
fork	n	1	defining	votes 3
form	n	1	defining	votes 3
form	v	1	defining	votes 3
formal	adj	1	defining	votes 1
former	adj	1	defining	votes 1
fortunately	adv	1	defining	votes 1
forward	adv	1	defining	votes 3
four	num	1	defining	votes 3
free	adj	1	defining	votes 3
freedom	n	1	defining	votes 2
freeze	v	1	defining	votes 2
frequent	adj	1	defining	votes 1
fresh	adj	1	defining	votes 2
fridge	n	1	defining	votes 1
friend	n	1	defining	votes 3
friendly	adj	1	defining	votes 3
friendship	n	1	defining	votes 2
from	prep	1	defining	votes 3
front	n	1	defining	votes 3
