word	pos	votes	roles
actual	adj	1	wordlist-1
actually	adv	3	wordlist-1,wordlist-2,wordlist-3
acute	adj	2	wordlist-2,wordlist-3
ad	abbr	1	wordlist-3
ad	n	1	wordlist-3
adapt	v	2	wordlist-1,wordlist-2
adaptation	n	1	wordlist-2
add up	phrv	1	wordlist-3
addicted	adj	1	wordlist-1
addiction	n	3	wordlist-1,wordlist-2,wordlist-3
addictive	adj	1	wordlist-2
additional	adj	1	wordlist-1
address	v	1	wordlist-1
adept	adj	1	wordlist-2
adequate	adj	2	wordlist-1,wordlist-2
adequately	adv	1	wordlist-2
adhere	v	1	wordlist-2
adhesive	adj	1	wordlist-2
adhesive	n	1	wordlist-2
adjacent	adj	2	wordlist-1,wordlist-2
adjust	v	1	wordlist-1
adjustment	n	1	wordlist-1
administer	v	1	wordlist-2
administrator	n	1	wordlist-3
admiration	n	2	wordlist-1,wordlist-2
admire	v	1	wordlist-1
admit	v	1	wordlist-1
admittedly	adv	1	wordlist-2
adolescence	n	2	wordlist-1,wordlist-2
adolescent	adj	1	wordlist-2
adolescent	n	1	wordlist-2
adopt	v	2	wordlist-1,wordlist-2
adoption	n	2	wordlist-1,wordlist-2
adore	v	1	wordlist-2
adult	n	1	wordlist-1
advance	v	1	wordlist-1
advanced	adj	2	wordlist-1,wordlist-3
advantage	n	1	wordlist-1
adverse	adj	1	wordlist-3
advertise	v	1	wordlist-1
advertising	n	1	wordlist-1
affect	v	1	wordlist-1
affection	n	2	wordlist-1,wordlist-2
affectionate	adj	1	wordlist-2
afford	v	1	wordlist-1
affordable	adj	1	wordlist-1
after all	phr	1	wordlist-2
aftershave	n	1	wordlist-1
aftertaste	n	1	wordlist-2
afterwards	adv	1	wordlist-2
age	v	1	wordlist-1
ageing	n	1	wordlist-1
agenda	n	1	wordlist-2
aggression	n	1	wordlist-1
aggressive	adj	2	wordlist-1,wordlist-2
agile	adj	1	wordlist-2
agility	n	1	wordlist-2
aging	adj	1	wordlist-2
aging	n	1	wordlist-2
agitated	adj	1	wordlist-2
agree	v	1	wordlist-1
agreement	n	1	wordlist-1
agricultural	adj	2	wordlist-1,wordlist-3
agriculture	n	1	wordlist-1
ah	interj	1	wordlist-3
ahead	adv	2	wordlist-1,wordlist-2
ai	abbr	1	wordlist-2
aim	n	2	wordlist-1,wordlist-2
aim	v	2	wordlist-1,wordlist-2
airline	n	1	wordlist-1
airport	n	1	wordlist-1
aisle	n	2	wordlist-1,wordlist-2
aka	abbr	1	wordlist-2
alarm	n	1	wordlist-1
alas	interj	2	wordlist-2,wordlist-3
album	n	1	wordlist-3
alcohol	n	1	wordlist-1
alert	n	1	wordlist-3
algae	n	1	wordlist-3
algorithm	n	1	wordlist-3
alienate	v	1	wordlist-2
alienated	adj	1	wordlist-2
alienation	n	1	wordlist-2
align	v	1	wordlist-2
all	pron	1	wordlist-3
allergic	adj	2	wordlist-1,wordlist-2
allergy	n	3	wordlist-1,wordlist-2,wordlist-3
alley	n	2	wordlist-2,wordlist-3
alliance	n	2	wordlist-1,wordlist-2
allow	v	1	wordlist-1
allowance	n	1	wordlist-1
alloy	n	1	wordlist-2
ally	n	1	wordlist-2
ally	v	1	wordlist-2
almost	adv	2	wordlist-1,wordlist-3
alone	adv	1	wordlist-1
alongside	prep	3	wordlist-1,wordlist-2,wordlist-3
already	adv	2	wordlist-1,wordlist-3
alright	adv	1	wordlist-2
alright	interj	1	wordlist-2
also	adv	1	wordlist-3
alter	v	2	wordlist-1,wordlist-2
alteration	n	2	wordlist-1,wordlist-2
alternate	adj	1	wordlist-2
alternative	n	1	wordlist-1
alternatively	adv	1	wordlist-2
although	conj	2	wordlist-1,wordlist-3
altitude	n	2	wordlist-2,wordlist-3
alumnus	n	1	wordlist-2
always	adv	1	wordlist-3
amateur	adj	2	wordlist-2,wordlist-3
amateur	n	2	wordlist-2,wordlist-3
amaze	v	1	wordlist-1
amazed	adj	1	wordlist-1
ambassador	n	1	wordlist-2
ambiguity	n	1	wordlist-2
ambiguous	adj	1	wordlist-2
ambition	n	1	wordlist-1
ambitious	adj	2	wordlist-1,wordlist-2
ambulance	n	2	wordlist-1,wordlist-2
amen	interj	1	wordlist-2
amenity	n	1	wordlist-1
amid	prep	3	wordlist-1,wordlist-2,wordlist-3
amidst	prep	2	wordlist-2,wordlist-3
among	prep	2	wordlist-1,wordlist-3
amongst	prep	1	wordlist-3
amount	n	2	wordlist-1,wordlist-3
amount to	phrv	2	wordlist-2,wordlist-3
amphibian	n	2	wordlist-1,wordlist-2
ample	adj	1	wordlist-3
amplify	v	1	wordlist-2
analogy	n	1	wordlist-3
analyse	v	1	wordlist-1
analysis	n	2	wordlist-1,wordlist-2
analysis	v	1	wordlist-1
analyze	v	2	wordlist-1,wordlist-2
anarchy	n	1	wordlist-2
ancestor	n	2	wordlist-1,wordlist-2
ancestry	n	1	wordlist-2
anchor	n	1	wordlist-2
anchor	v	1	wordlist-2
ancient	adj	1	wordlist-2
anemia	n	1	wordlist-3
anesthetic	n	1	wordlist-3
animation	n	1	wordlist-2
animator	n	1	wordlist-2
anniversary	n	2	wordlist-1,wordlist-2
announce	v	1	wordlist-1
annoy	v	1	wordlist-1
annoyance	n	1	wordlist-2
annoyed	adj	1	wordlist-1
annual	adj	2	wordlist-1,wordlist-2
annually	adv	1	wordlist-2
another	pron	1	wordlist-3
answer	n	1	wordlist-1
ant	n	1	wordlist-3
antagonist	n	1	wordlist-2
anti-	prefix	3	wordlist-1,wordlist-2,wordlist-3
antibiotic	n	3	wordlist-1,wordlist-2,wordlist-3
antler	n	1	wordlist-2
antonym	n	1	wordlist-2
anxiety	n	3	wordlist-1,wordlist-2,wordlist-3
anxious	adj	2	wordlist-1,wordlist-2
any	pron	1	wordlist-3
anybody	pron	2	wordlist-2,wordlist-3
anyhow	adv	1	wordlist-3
anyone	pron	2	wordlist-2,wordlist-3
anything	pron	1	wordlist-3
anyway	adv	3	wordlist-1,wordlist-2,wordlist-3
apart	adv	1	wordlist-1
apartment	n	1	wordlist-1
apartment block	n	1	wordlist-3
apathetic	adj	1	wordlist-2
apathy	n	1	wordlist-2
ape	n	1	wordlist-3
apologies	n	2	wordlist-2,wordlist-3
apologize	v	1	wordlist-1
app	abbr	1	wordlist-2
app	n	2	wordlist-1,wordlist-3
appalling	adj	1	wordlist-2
appallingly	adv	1	wordlist-2
apparatus	n	1	wordlist-2
apparel	n	1	wordlist-3
apparent	adj	1	wordlist-3
apparently	adv	1	wordlist-1
appeal	n	1	wordlist-1
appeal	v	1	wordlist-1
appear	v	2	wordlist-1,wordlist-3
appearance	n	1	wordlist-1
appendix	n	1	wordlist-2
appetite	n	2	wordlist-1,wordlist-2
appetizer	n	2	wordlist-2,wordlist-3
applause	n	1	wordlist-2
appliance	n	2	wordlist-1,wordlist-2
application	n	1	wordlist-1
apply	v	2	wordlist-1,wordlist-3
apply for	phrv	1	wordlist-1
appoint	v	1	wordlist-1
appointment	n	2	wordlist-1,wordlist-3
appraisal	n	1	wordlist-2
appraise	v	1	wordlist-2
appreciate	v	2	wordlist-1,wordlist-2
appreciation	n	1	wordlist-2
apprehensive	adj	1	wordlist-2
apprentice	n	1	wordlist-2
apprenticeship	n	1	wordlist-2
approach	n	1	wordlist-1
approach	v	1	wordlist-1
approimate	v	1	wordlist-3
approimately	adv	1	wordlist-3
appropriate	adj	1	wordlist-1
approval	n	1	wordlist-1
approve	v	1	wordlist-1
approx.	abbr	1	wordlist-1
approximate	adj	1	wordlist-2
approximate	v	1	wordlist-2
approximately	adv	3	wordlist-1,wordlist-2,wordlist-3
approximation	n	1	wordlist-2
apron	n	1	wordlist-1
apt.	abbr	1	wordlist-1
aptitude	n	1	wordlist-2
aquatic	adj	1	wordlist-3
aquifer	n	1	wordlist-3
arable	adj	1	wordlist-2
arcade	n	2	wordlist-2,wordlist-3
archaic	adj	1	wordlist-2
archer	n	1	wordlist-2
archery	n	1	wordlist-2
archipelago	n	1	wordlist-3
archive	n	2	wordlist-2,wordlist-3
archive	v	2	wordlist-2,wordlist-3
arctic	adj	1	wordlist-2
arduous	adj	2	wordlist-2,wordlist-3
arduously	adv	1	wordlist-3
area	n	1	wordlist-3
arena	n	2	wordlist-2,wordlist-3
argue	v	2	wordlist-1,wordlist-2
argument	n	2	wordlist-1,wordlist-2
arid	adj	2	wordlist-2,wordlist-3
arise	v	1	wordlist-2
armchair	n	1	wordlist-2
army	n	1	wordlist-1
aroma	n	3	wordlist-1,wordlist-2,wordlist-3
arrange	v	1	wordlist-1
arrears	n	1	wordlist-2
arrest	n	1	wordlist-1
arrest	v	1	wordlist-1
arrested	adj	1	wordlist-1
arrival	n	2	wordlist-1,wordlist-2
arrive	v	1	wordlist-1
arrogance	n	2	wordlist-1,wordlist-2
arrogant	adj	2	wordlist-1,wordlist-2
art	n	1	wordlist-3
artery	n	2	wordlist-2,wordlist-3
arthritis	n	1	wordlist-3
article	n	1	wordlist-1
articulate	adj	1	wordlist-2
articulate	v	1	wordlist-2
artificial intelligence	n	1	wordlist-1
artillery	n	1	wordlist-2
artist	n	1	wordlist-3
as a matter of fact	phr	1	wordlist-2
as for	prep	1	wordlist-2
as if	conj	1	wordlist-1
as though	conj	1	wordlist-1
as to	prep	1	wordlist-2
as well as	conj	1	wordlist-2
as well as	prep	2	wordlist-1,wordlist-2
asap	abbr	3	wordlist-1,wordlist-2,wordlist-3
ascend	v	1	wordlist-2
ash	n	2	wordlist-1,wordlist-2
ashamed	adj	2	wordlist-1,wordlist-2
aspect	n	1	wordlist-2
aspiration	n	1	wordlist-2
aspire	v	1	wordlist-2
assault	n	1	wordlist-1
assault	v	1	wordlist-1
assemble	v	2	wordlist-1,wordlist-2
assembly	n	1	wordlist-1
assert	v	1	wordlist-2
assertion	n	1	wordlist-2
assertive	adj	1	wordlist-2
assess	v	2	wordlist-2,wordlist-3
assessment	n	2	wordlist-1,wordlist-2
assessment	v	1	wordlist-1
asset	n	2	wordlist-1,wordlist-2
assignment	n	2	wordlist-1,wordlist-2
associate	v	2	wordlist-1,wordlist-3
assume	v	3	wordlist-1,wordlist-2,wordlist-3
assuming	conj	2	wordlist-1,wordlist-3
assumption	n	3	wordlist-1,wordlist-2,wordlist-3
astern	adv	1	wordlist-2
asteroid	n	1	wordlist-3
asthma	n	2	wordlist-2,wordlist-3
astonished	adj	1	wordlist-2
astute	adj	1	wordlist-2
asylum	n	1	wordlist-2
asymmetrical	adj	1	wordlist-2
athlete	n	2	wordlist-2,wordlist-3
athletic	adj	1	wordlist-2
atm	abbr	2	wordlist-2,wordlist-3
atmosphere	n	3	wordlist-1,wordlist-2,wordlist-3
atmospheric	adj	1	wordlist-2
atoll	n	1	wordlist-3
atrium	n	1	wordlist-2
atrocious	adj	1	wordlist-2
attach	v	1	wordlist-1
attachment	n	1	wordlist-1
attack	n	1	wordlist-1
attack	v	1	wordlist-1
attempt	n	1	wordlist-1
attempt	v	1	wordlist-1
attic	n	2	wordlist-1,wordlist-2
attire	n	1	wordlist-3
attitude	n	1	wordlist-1
attn.	abbr	1	wordlist-1
attorney	n	1	wordlist-2
attractive	adj	1	wordlist-1
attractiveness	n	1	wordlist-1
atypical	adj	2	wordlist-2,wordlist-3
atypically	adv	1	wordlist-3
auction	n	1	wordlist-2
auction	v	1	wordlist-2
audacious	adj	1	wordlist-2
audible	adj	1	wordlist-2
audience	n	2	wordlist-1,wordlist-3
audio	n	1	wordlist-1
audit	n	1	wordlist-2
audit	v	1	wordlist-2
audition	n	1	wordlist-2
audition	v	1	wordlist-2
auditorium	n	1	wordlist-2
authentic	adj	2	wordlist-2,wordlist-3
authentically	adv	2	wordlist-2,wordlist-3
author	n	2	wordlist-1,wordlist-2
authoritarian	adj	1	wordlist-2
authority	n	1	wordlist-1
auto-	prefix	2	wordlist-1,wordlist-2
autobiography	n	1	wordlist-2
automated	adj	1	wordlist-3
automatic	adj	2	wordlist-1,wordlist-3
autumnal	adj	1	wordlist-2
available	adj	1	wordlist-1
avalanche	n	1	wordlist-2
ave.	abbr	1	wordlist-1
avenue	n	3	wordlist-1,wordlist-2,wordlist-3
average	adj	1	wordlist-1
avoid	v	1	wordlist-1
awake	adj	2	wordlist-1,wordlist-2
awaken	v	1	wordlist-2
aware	adj	2	wordlist-1,wordlist-3
awareness	n	2	wordlist-1,wordlist-3
awe	n	1	wordlist-2
awful	adj	2	wordlist-1,wordlist-3
awfully	adv	1	wordlist-3
awkward	adj	1	wordlist-3
awkwardly	adv	1	wordlist-3
awning	n	1	wordlist-3
axis	n	1	wordlist-3
b&b	abbr	1	wordlist-3
b2b	abbr	1	wordlist-2
back away	phrv	1	wordlist-2
back up	phrv	2	wordlist-1,wordlist-2
backpack	n	3	wordlist-1,wordlist-2,wordlist-3
backpack	v	1	wordlist-2
backpacker	n	1	wordlist-2
backstage	adj	1	wordlist-2
backstage	n	1	wordlist-2
backup	n	2	wordlist-1,wordlist-3
backup	v	1	wordlist-3
backward	adj	1	wordlist-2
backward	adv	1	wordlist-1
backwards	adv	1	wordlist-2
bacon	n	2	wordlist-1,wordlist-2
bacteria	n	2	wordlist-1,wordlist-3
badger	n	1	wordlist-3
baggage	n	2	wordlist-1,wordlist-2
baggy	adj	2	wordlist-2,wordlist-3
bail	n	1	wordlist-2
bake	v	3	wordlist-1,wordlist-2,wordlist-3
baker	n	1	wordlist-2
bakery	n	2	wordlist-1,wordlist-3
balance	n	1	wordlist-1
balcony	n	2	wordlist-1,wordlist-2
bald	adj	2	wordlist-1,wordlist-2
ball	n	1	wordlist-3
ballerina	n	1	wordlist-2
ballot	n	1	wordlist-2
ban	n	1	wordlist-1
ban	v	1	wordlist-1
band	n	1	wordlist-3
bandage	n	3	wordlist-1,wordlist-2,wordlist-3
bandage	v	2	wordlist-1,wordlist-2
bang	n	1	wordlist-1
bang	v	1	wordlist-1
bank	n	1	wordlist-2
bank account	n	1	wordlist-1
bankrupt	adj	2	wordlist-1,wordlist-2
bankruptcy	n	1	wordlist-2
banquet	n	2	wordlist-1,wordlist-2
bar	n	1	wordlist-3
barbecue	n	1	wordlist-3
barbecue	v	1	wordlist-3
barber	n	1	wordlist-1
barely	adv	2	wordlist-2,wordlist-3
bargain	v	1	wordlist-2
bark	n	2	wordlist-1,wordlist-2
barley	n	2	wordlist-2,wordlist-3
barn	n	3	wordlist-1,wordlist-2,wordlist-3
barometer	n	1	wordlist-2
barren	adj	2	wordlist-2,wordlist-3
barrier	n	1	wordlist-2
barring	prep	2	wordlist-2,wordlist-3
baseball	n	1	wordlist-3
basement	n	2	wordlist-1,wordlist-2
basically	adv	1	wordlist-3
basin	n	1	wordlist-3
basket	n	1	wordlist-1
basketball	n	1	wordlist-3
bat	n	1	wordlist-3
bathe	v	1	wordlist-2
bathrobe	n	1	wordlist-2
batter	n	1	wordlist-2
battery	n	2	wordlist-1,wordlist-3
bay	n	3	wordlist-1,wordlist-2,wordlist-3
bazaar	n	1	wordlist-3
bc	abbr	1	wordlist-3
bcc	abbr	1	wordlist-1
be	v	1	wordlist-3
beach	n	1	wordlist-1
beak	n	2	wordlist-2,wordlist-3
beam	n	2	wordlist-1,wordlist-2
beam	v	1	wordlist-2
bean	n	1	wordlist-1
beanie	n	1	wordlist-2
bear	n	1	wordlist-3
bear	v	1	wordlist-2
bear in mind	phrv	1	wordlist-1
beard	n	1	wordlist-1
bearing	n	1	wordlist-2
beat	n	1	wordlist-3
beat	v	2	wordlist-1,wordlist-3
become	v	1	wordlist-3
bedsheet	n	1	wordlist-2
bedtime	n	1	wordlist-1
bee	n	1	wordlist-3
beef	n	2	wordlist-2,wordlist-3
beforehand	adv	1	wordlist-2
behavior	n	1	wordlist-1
behaviour	n	1	wordlist-1
belief	n	1	wordlist-1
believe	v	1	wordlist-1
believe in	phrv	1	wordlist-1
belongings	n	1	wordlist-1
belt	n	1	wordlist-3
bench	n	1	wordlist-3
benchmark	n	1	wordlist-2
bend	n	1	wordlist-2
bend	v	2	wordlist-1,wordlist-2
beneath	prep	3	wordlist-1,wordlist-2,wordlist-3
benefit	n	1	wordlist-1
benefit	v	1	wordlist-1
benign	adj	2	wordlist-2,wordlist-3
bereavement	n	2	wordlist-1,wordlist-2
beside	prep	2	wordlist-1,wordlist-3
besides	adv	2	wordlist-1,wordlist-2
besides	prep	3	wordlist-1,wordlist-2,wordlist-3
bestseller	n	1	wordlist-2
betray	v	1	wordlist-2
betrayal	n	1	wordlist-2
beverage	n	2	wordlist-2,wordlist-3
bewildered	adj	1	wordlist-2
beyond	prep	2	wordlist-1,wordlist-3
bi-	comb	1	wordlist-3
bi-	prefix	1	wordlist-1
bias	n	2	wordlist-2,wordlist-3
biased	adj	1	wordlist-2
bibliography	n	2	wordlist-1,wordlist-2
bicycle	n	1	wordlist-1
bidder	n	1	wordlist-2
bike	n	1	wordlist-3
bike	v	1	wordlist-3
bikini	n	1	wordlist-3
bilingual	adj	1	wordlist-2
bill	n	1	wordlist-1
billboard	n	2	wordlist-2,wordlist-3
billiards	n	1	wordlist-2
billion	num	1	wordlist-2
bin	n	2	wordlist-1,wordlist-3
bin liner	n	1	wordlist-2
bio-	comb	2	wordlist-1,wordlist-2
biodegradable	adj	1	wordlist-2
biodiversity	n	1	wordlist-3
biography	n	1	wordlist-2
biopsy	n	1	wordlist-3
bird	n	1	wordlist-1
birth	n	1	wordlist-1
bistro	n	1	wordlist-2
bitter	adj	3	wordlist-1,wordlist-2,wordlist-3
bizarre	adj	2	wordlist-2,wordlist-3
bizarrely	adv	1	wordlist-3
bladder	n	1	wordlist-2
blade	n	2	wordlist-1,wordlist-3
blame	v	1	wordlist-1
bland	adj	2	wordlist-1,wordlist-2
blanket	n	1	wordlist-1
blazer	n	2	wordlist-2,wordlist-3
bleach	n	2	wordlist-1,wordlist-2
bleach	v	1	wordlist-2
bleak	adj	1	wordlist-2
bleed	v	3	wordlist-1,wordlist-2,wordlist-3
bleeding	n	1	wordlist-1
blemish	n	1	wordlist-2
blend	v	3	wordlist-1,wordlist-2,wordlist-3
blender	n	2	wordlist-1,wordlist-2
bless you	phr	1	wordlist-3
blind	adj	1	wordlist-1
blind	n	1	wordlist-1
blindly	adv	1	wordlist-2
blinds	n	1	wordlist-2
blizzard	n	2	wordlist-2,wordlist-3
block	n	2	wordlist-1,wordlist-3
block	v	1	wordlist-1
blockbuster	n	1	wordlist-2
blocked	adj	1	wordlist-1
blood	n	1	wordlist-1
blood pressure	phr	1	wordlist-1
bloom	n	2	wordlist-1,wordlist-2
bloom	v	2	wordlist-1,wordlist-2
blossom	n	2	wordlist-1,wordlist-2
blossom	v	1	wordlist-2
blouse	n	1	wordlist-3
blow	v	1	wordlist-1
blow-dry	v	1	wordlist-2
blunt	adj	3	wordlist-1,wordlist-2,wordlist-3
blurry	adj	1	wordlist-2
blush	n	1	wordlist-2
blush	v	1	wordlist-2
blustery	adj	1	wordlist-2
blvd.	abbr	1	wordlist-1
board	v	2	wordlist-1,wordlist-2
board game	n	2	wordlist-2,wordlist-3
boarding	n	1	wordlist-2
bog	n	1	wordlist-3
boil	v	2	wordlist-1,wordlist-3
boiling	adj	1	wordlist-1
bold	adj	1	wordlist-2
bolt	n	1	wordlist-1
bomb	n	1	wordlist-1
bond	n	1	wordlist-2
bond	v	1	wordlist-2
bone	n	2	wordlist-1,wordlist-3
bonnet	n	1	wordlist-2
bonus	n	2	wordlist-1,wordlist-2
book	v	1	wordlist-1
booking	n	1	wordlist-1
bookshelf	n	1	wordlist-2
bookshop	n	1	wordlist-3
boot	n	1	wordlist-2
boot	v	1	wordlist-3
border	n	1	wordlist-1
bored	adj	1	wordlist-1
borough	n	1	wordlist-2
borrow	v	1	wordlist-1
both	pron	1	wordlist-3
bottle	n	1	wordlist-1
boulevard	n	2	wordlist-2,wordlist-3
boutique	n	3	wordlist-1,wordlist-2,wordlist-3
bow tie	n	1	wordlist-3
bowel	n	1	wordlist-2
bowl	n	1	wordlist-1
bowling	n	1	wordlist-2
boxer	n	1	wordlist-2
boxers	n	1	wordlist-3
boxing	n	1	wordlist-3
bra	n	2	wordlist-1,wordlist-3
brace	n	1	wordlist-3
bracelet	n	3	wordlist-1,wordlist-2,wordlist-3
bracket	n	1	wordlist-2
braid	n	1	wordlist-2
braid	v	1	wordlist-2
brain	n	1	wordlist-1
brake	n	2	wordlist-1,wordlist-2
brake	v	2	wordlist-1,wordlist-2
branch	n	1	wordlist-1
brand	n	1	wordlist-1
brave	adj	1	wordlist-1
bravo	interj	2	wordlist-2,wordlist-3
brawny	adj	1	wordlist-2
brb	abbr	1	wordlist-3
breadwinner	n	1	wordlist-2
break	v	1	wordlist-1
break down	phrv	2	wordlist-1,wordlist-3
break in	phrv	2	wordlist-1,wordlist-3
break into	phrv	1	wordlist-1
break out	phrv	1	wordlist-3
break up	phrv	2	wordlist-1,wordlist-3
break up	v	1	wordlist-2
breakdown	n	1	wordlist-2
breathable	adj	1	wordlist-3
breathe	v	1	wordlist-1
breathing	n	1	wordlist-1
breathless	adj	1	wordlist-1
breed	n	3	wordlist-1,wordlist-2,wordlist-3
breed	v	3	wordlist-1,wordlist-2,wordlist-3
breeze	n	3	wordlist-1,wordlist-2,wordlist-3
bribe	n	1	wordlist-2
bribe	v	1	wordlist-2
bribery	n	1	wordlist-2
brick	n	1	wordlist-1
bride	n	1	wordlist-2
bridge	n	1	wordlist-3
brief	adj	1	wordlist-1
briefcase	n	3	wordlist-1,wordlist-2,wordlist-3
briefly	adv	1	wordlist-2
briefs	n	2	wordlist-1,wordlist-3
bright	adj	1	wordlist-1
brighten	v	2	wordlist-1,wordlist-3
brilliant	adj	1	wordlist-3
brilliantly	adv	1	wordlist-3
bring	v	1	wordlist-3
bring about	phrv	1	wordlist-2
bring back	phrv	2	wordlist-1,wordlist-3
bring in	phrv	2	wordlist-1,wordlist-3
bring up	phrv	2	wordlist-1,wordlist-3
brittle	adj	1	wordlist-2
broad	adj	2	wordlist-1,wordlist-3
brochure	n	1	wordlist-2
broil	v	1	wordlist-3
broken	adj	1	wordlist-1
broker	n	1	wordlist-2
brokerage	n	1	wordlist-2
bronchitis	n	1	wordlist-3
brooch	n	1	wordlist-3
broom	n	2	wordlist-1,wordlist-2
broth	n	2	wordlist-2,wordlist-3
browse	v	2	wordlist-1,wordlist-2
browser	n	2	wordlist-1,wordlist-3
bruise	n	3	wordlist-1,wordlist-2,wordlist-3
bruise	v	2	wordlist-1,wordlist-2
brush	n	1	wordlist-1
brush	v	1	wordlist-2
btw	abbr	1	wordlist-3
bucket	n	1	wordlist-1
buckle	n	1	wordlist-2
buckle	v	1	wordlist-2
bud	n	1	wordlist-1
budget	n	1	wordlist-1
budget	v	1	wordlist-1
buffet	n	2	wordlist-1,wordlist-2
bug	n	1	wordlist-3
bulb	n	1	wordlist-1
bulk	n	2	wordlist-2,wordlist-3
bulk up	phrv	1	wordlist-3
bulky	adj	1	wordlist-3
bull	n	1	wordlist-3
bumper	n	1	wordlist-2
bungalow	n	1	wordlist-2
buoyancy	n	1	wordlist-2
buoyant	adj	1	wordlist-2
burdensome	adj	1	wordlist-2
bureaucracy	n	1	wordlist-2
bureaucratic	adj	1	wordlist-2
burger	n	1	wordlist-1
burglar	n	1	wordlist-1
burglary	n	1	wordlist-1
burial	n	1	wordlist-2
burn	n	1	wordlist-1
burn	v	1	wordlist-1
burrow	n	1	wordlist-2
burrow	v	1	wordlist-2
bury	v	2	wordlist-1,wordlist-2
bus stop	n	1	wordlist-3
bustling	adj	2	wordlist-2,wordlist-3
butcher	n	3	wordlist-1,wordlist-2,wordlist-3
butcher	v	1	wordlist-3
butter	n	1	wordlist-1
butterfly	n	1	wordlist-3
buttery	adj	1	wordlist-3
button	n	2	wordlist-1,wordlist-3
button	v	1	wordlist-2
button up	phrv	1	wordlist-1
buzz	n	2	wordlist-1,wordlist-2
buzz	v	2	wordlist-1,wordlist-2
by the way	phr	2	wordlist-2,wordlist-3
by virtue of	prep	1	wordlist-2
by-product	n	1	wordlist-2
bye	interj	1	wordlist-3
bypass	n	1	wordlist-2
