word	pos	band_median	votes	by_role
allow	v	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
almost	adv	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
alone	adj	1	3	wordlist-1=2,wordlist-2=1,wordlist-3=1
alone	adv	1	3	wordlist-1=2,wordlist-2=1,wordlist-3=1
along	adv	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
along	prep	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
alongside	prep	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
alphabet	n	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
already	adv	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
alright	adv	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=2
alright	interj	2	3	wordlist-1=3,wordlist-2=1,wordlist-3=2
also	adv	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
alter	v	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
alteration	n	3	3	wordlist-1=4,wordlist-2=3,wordlist-3=2
although	conj	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
altitude	n	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=2
always	adv	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
am	abbr	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=2
amateur	adj	2	3	wordlist-1=4,wordlist-2=2,wordlist-3=2
amateur	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
ambitious	adj	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
ambulance	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
amid	prep	3	3	wordlist-1=4,wordlist-2=3,wordlist-3=2
amidst	prep	4	3	wordlist-1=4,wordlist-2=4,wordlist-3=2
among	prep	1	3	wordlist-1=2,wordlist-2=1,wordlist-3=1
amount	n	1	3	wordlist-1=2,wordlist-2=1,wordlist-3=1
amount to	phrv	2	3	wordlist-1=2,wordlist-2=3,wordlist-3=1
amphibian	n	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=4
an	det	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
analysis	n	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=1
analyze	v	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=1
ancestor	n	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=2
and	conj	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
anger	n	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
anger	v	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=2
angle	n	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
angry	adj	1	3	wordlist-1=2,wordlist-2=1,wordlist-3=1
animal	n	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
anniversary	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
annual	adj	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
another	det	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
another	pron	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
answer	n	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
answer	v	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
anti-	prefix	3	3	wordlist-1=3,wordlist-2=2,wordlist-3=3
antibiotic	n	3	3	wordlist-1=3,wordlist-2=2,wordlist-3=3
anxiety	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
anxious	adj	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
any	det	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
any	pron	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
anybody	pron	1	3	wordlist-1=2,wordlist-2=1,wordlist-3=1
anyone	pron	1	3	wordlist-1=2,wordlist-2=1,wordlist-3=1
anything	pron	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
anyway	adv	1	3	wordlist-1=2,wordlist-2=1,wordlist-3=1
anywhere	adv	1	3	wordlist-1=2,wordlist-2=1,wordlist-3=1
apart	adv	1	3	wordlist-1=2,wordlist-2=1,wordlist-3=1
apartment	n	1	3	wordlist-1=2,wordlist-2=1,wordlist-3=1
apologies	n	3	3	wordlist-1=3,wordlist-2=2,wordlist-3=3
apologize	v	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
app	abbr	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=2
app	n	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=3
appeal	n	3	3	wordlist-1=3,wordlist-2=2,wordlist-3=3
appeal	v	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
appear	v	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=2
appearance	n	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=1
appetite	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
appetizer	n	3	3	wordlist-1=4,wordlist-2=3,wordlist-3=2
appliance	n	3	3	wordlist-1=3,wordlist-2=2,wordlist-3=3
apply	v	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=3
appointment	n	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=2
appreciate	v	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=2
approximately	adv	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
apt	abbr	3	3	wordlist-1=4,wordlist-2=3,wordlist-3=2
apt.	abbr	3	3	wordlist-1=4,wordlist-2=3,wordlist-3=3
arcade	n	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=3
archive	n	3	3	wordlist-1=3,wordlist-2=2,wordlist-3=3
archive	v	3	3	wordlist-1=4,wordlist-2=3,wordlist-3=3
arduous	adj	4	3	wordlist-1=5,wordlist-2=4,wordlist-3=3
area	n	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=4
arena	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=1
argue	v	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=2
argument	n	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=2
arid	adj	4	3	wordlist-1=4,wordlist-2=4,wordlist-3=2
arm	n	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=3
army	n	1	3	wordlist-1=2,wordlist-2=1,wordlist-3=1
aroma	n	3	3	wordlist-1=4,wordlist-2=3,wordlist-3=1
around	adv	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=3
around	prep	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
arrest	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=1
arrest	v	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
arrival	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
arrive	v	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=2
arrogance	n	3	3	wordlist-1=4,wordlist-2=3,wordlist-3=2
arrogant	adj	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=2
art	n	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=3
artery	n	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=3
artist	n	1	3	wordlist-1=2,wordlist-2=1,wordlist-3=1
as	conj	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
as	prep	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
as well as	prep	1	3	wordlist-1=2,wordlist-2=1,wordlist-3=1
asap	abbr	3	3	wordlist-1=3,wordlist-2=2,wordlist-3=3
ash	n	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=3
ashamed	adj	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
ask	v	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=2
asleep	adj	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=1
assemble	v	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
assess	v	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
assessment	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
asset	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
assignment	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
associate	v	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
assume	v	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
assuming	conj	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=2
assumption	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
asthma	n	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=2
at	prep	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=3
athlete	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=1
atm	abbr	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
atmosphere	n	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=3
attack	n	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=2
attack	v	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=2
attempt	n	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
attempt	v	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
attention	n	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=2
attic	n	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=1
attitude	n	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=3
atypical	adj	4	3	wordlist-1=4,wordlist-2=4,wordlist-3=2
audible	adj	4	3	wordlist-1=4,wordlist-2=3,wordlist-3=4
audience	n	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=3
aunt	n	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=2
authentic	adj	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
authentically	adv	4	3	wordlist-1=4,wordlist-2=4,wordlist-3=2
author	n	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=3
authority	n	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
auto-	prefix	2	3	wordlist-1=4,wordlist-2=2,wordlist-3=2
automatic	adj	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
autumn	n	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=3
available	adj	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=3
ave	abbr	3	3	wordlist-1=4,wordlist-2=3,wordlist-3=2
avenue	n	3	3	wordlist-1=3,wordlist-2=2,wordlist-3=3
average	adj	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
average	n	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
awake	adj	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
aware	adj	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=2
awareness	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
away	adv	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=2
awful	adj	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=1
baby	n	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
back	adv	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
back	n	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
back up	phrv	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
backpack	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
backup	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
backward	adv	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
bacon	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
bacteria	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
bad	adj	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
badly	adv	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
bag	n	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=2
baggage	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=1
baggy	adj	3	3	wordlist-1=4,wordlist-2=3,wordlist-3=2
bake	v	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
bakery	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
balcony	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
bald	adj	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=2
ball	n	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=2
band	n	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=2
bandage	n	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=2
bandage	v	3	3	wordlist-1=4,wordlist-2=3,wordlist-3=2
bang	v	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
bank	n	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=2
bankrupt	adj	3	3	wordlist-1=4,wordlist-2=3,wordlist-3=2
banquet	n	3	3	wordlist-1=4,wordlist-2=3,wordlist-3=3
barely	adv	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
bark	n	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=2
barley	n	3	3	wordlist-1=4,wordlist-2=3,wordlist-3=3
barn	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
barren	adj	4	3	wordlist-1=4,wordlist-2=4,wordlist-3=3
barring	prep	4	3	wordlist-1=4,wordlist-2=4,wordlist-3=3
basement	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
basic	adj	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
basically	adv	1	3	wordlist-1=2,wordlist-2=1,wordlist-3=1
basis	n	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=1
basket	n	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
bath	n	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=2
bathroom	n	1	3	wordlist-1=2,wordlist-2=1,wordlist-3=1
battery	n	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
battle	n	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
battle	v	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=2
bay	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
be	aux	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
be	v	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
beach	n	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=2
beak	n	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=3
beam	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
bean	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
bear	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
bear	v	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
beard	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
beat	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
beat	v	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=2
beautiful	adj	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
beauty	n	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
because	conj	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
become	v	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
bed	n	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
bedroom	n	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=2
bee	n	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
beef	n	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
beer	n	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=2
before	adv	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
before	conj	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
before	prep	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
begin	v	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
beginning	n	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=2
behavior	n	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
behaviour	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
behind	adv	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
behind	prep	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
belief	n	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
believe	v	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
belong	v	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
belong to	phrv	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
belongings	n	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=2
below	adv	1	3	wordlist-1=2,wordlist-2=1,wordlist-3=1
below	prep	1	3	wordlist-1=2,wordlist-2=1,wordlist-3=1
belt	n	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
bench	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
bend	n	3	3	wordlist-1=4,wordlist-2=3,wordlist-3=2
bend	v	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
beneath	prep	3	3	wordlist-1=3,wordlist-2=2,wordlist-3=3
benefit	n	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=2
benefit	v	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
benign	adj	4	3	wordlist-1=4,wordlist-2=4,wordlist-3=4
bent	adj	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=2
bereavement	n	4	3	wordlist-1=4,wordlist-2=4,wordlist-3=5
berry	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
beside	prep	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=1
besides	adv	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
besides	prep	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
between	prep	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
beverage	n	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=3
beyond	prep	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
bias	n	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=2
bibliography	n	4	3	wordlist-1=4,wordlist-2=4,wordlist-3=4
bicycle	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
big	adj	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
bike	n	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=2
bill	n	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=2
bill	v	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=3
billboard	n	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=4
bin	n	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
bind	v	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=2
bio-	comb	4	3	wordlist-1=4,wordlist-2=3,wordlist-3=4
