word	pos	votes	roles
also	adv	3	wordlist-1,wordlist-2,wordlist-3
although	conj	3	wordlist-1,wordlist-2,wordlist-3
always	adv	3	wordlist-1,wordlist-2,wordlist-3
am	abbr	2	wordlist-2,wordlist-3
amateur	adj	1	wordlist-1
ambulance	n	2	wordlist-1,wordlist-3
among	prep	3	wordlist-1,wordlist-2,wordlist-3
amount	n	3	wordlist-1,wordlist-2,wordlist-3
an	det	1	wordlist-3
analysis	n	1	wordlist-3
ancestor	n	2	wordlist-2,wordlist-3
and	conj	3	wordlist-1,wordlist-2,wordlist-3
anger	n	3	wordlist-1,wordlist-2,wordlist-3
anger	v	1	wordlist-1
angle	n	1	wordlist-2
angry	adj	3	wordlist-1,wordlist-2,wordlist-3
animal	n	3	wordlist-1,wordlist-2,wordlist-3
annual	adj	2	wordlist-2,wordlist-3
another	det	2	wordlist-1,wordlist-2
another	pron	1	wordlist-2
answer	n	3	wordlist-1,wordlist-2,wordlist-3
answer	v	3	wordlist-1,wordlist-2,wordlist-3
anti-	prefix	2	wordlist-1,wordlist-2
antibiotic	n	1	wordlist-3
anxious	adj	2	wordlist-2,wordlist-3
any	det	3	wordlist-1,wordlist-2,wordlist-3
any	pron	2	wordlist-1,wordlist-2
anybody	pron	1	wordlist-2
anyone	pron	1	wordlist-2
anything	pron	1	wordlist-2
anyway	adv	2	wordlist-1,wordlist-2
anywhere	adv	2	wordlist-1,wordlist-2
apart	adv	3	wordlist-1,wordlist-2,wordlist-3
apartment	n	1	wordlist-2
apologize	v	1	wordlist-3
app	abbr	2	wordlist-1,wordlist-2
appeal	n	2	wordlist-1,wordlist-3
appeal	v	2	wordlist-1,wordlist-3
appear	v	2	wordlist-2,wordlist-3
appearance	n	2	wordlist-1,wordlist-2
appointment	n	2	wordlist-1,wordlist-3
apt	abbr	1	wordlist-3
apt.	abbr	1	wordlist-2
area	n	3	wordlist-1,wordlist-2,wordlist-3
argue	v	3	wordlist-1,wordlist-2,wordlist-3
argument	n	3	wordlist-1,wordlist-2,wordlist-3
arm	n	3	wordlist-1,wordlist-2,wordlist-3
army	n	3	wordlist-1,wordlist-2,wordlist-3
around	adv	2	wordlist-1,wordlist-2
around	prep	3	wordlist-1,wordlist-2,wordlist-3
arrest	n	3	wordlist-1,wordlist-2,wordlist-3
arrest	v	3	wordlist-1,wordlist-2,wordlist-3
arrive	v	3	wordlist-1,wordlist-2,wordlist-3
art	n	3	wordlist-1,wordlist-2,wordlist-3
artery	n	1	wordlist-3
artist	n	2	wordlist-1,wordlist-2
as	conj	3	wordlist-1,wordlist-2,wordlist-3
as	prep	3	wordlist-1,wordlist-2,wordlist-3
asap	abbr	1	wordlist-2
ash	n	1	wordlist-2
ashamed	adj	2	wordlist-1,wordlist-3
ask	v	3	wordlist-1,wordlist-2,wordlist-3
asleep	adj	3	wordlist-1,wordlist-2,wordlist-3
assume	v	2	wordlist-1,wordlist-3
assumption	n	1	wordlist-3
asthma	n	1	wordlist-3
at	prep	3	wordlist-1,wordlist-2,wordlist-3
attack	n	3	wordlist-1,wordlist-2,wordlist-3
attack	v	3	wordlist-1,wordlist-2,wordlist-3
attempt	n	1	wordlist-3
attempt	v	1	wordlist-3
attention	n	2	wordlist-1,wordlist-2
attitude	n	2	wordlist-2,wordlist-3
audible	adj	1	wordlist-3
audience	n	2	wordlist-1,wordlist-3
aunt	n	3	wordlist-1,wordlist-2,wordlist-3
author	n	1	wordlist-1
authority	n	2	wordlist-1,wordlist-3
automatic	adj	1	wordlist-1
autumn	n	3	wordlist-1,wordlist-2,wordlist-3
available	adj	1	wordlist-1
ave	abbr	1	wordlist-3
avenue	n	1	wordlist-3
average	adj	1	wordlist-1
average	n	1	wordlist-1
awake	adj	3	wordlist-1,wordlist-2,wordlist-3
aware	adj	3	wordlist-1,wordlist-2,wordlist-3
awareness	n	1	wordlist-3
away	adv	3	wordlist-1,wordlist-2,wordlist-3
baby	n	3	wordlist-1,wordlist-2,wordlist-3
back	adv	3	wordlist-1,wordlist-2,wordlist-3
back	n	3	wordlist-1,wordlist-2,wordlist-3
backward	adv	2	wordlist-1,wordlist-2
bacteria	n	1	wordlist-3
bad	adj	2	wordlist-1,wordlist-2
badly	adv	3	wordlist-1,wordlist-2,wordlist-3
bag	n	3	wordlist-1,wordlist-2,wordlist-3
bake	v	2	wordlist-1,wordlist-3
bald	adj	2	wordlist-1,wordlist-3
ball	n	3	wordlist-1,wordlist-2,wordlist-3
band	n	2	wordlist-2,wordlist-3
bandage	n	2	wordlist-1,wordlist-3
bang	v	1	wordlist-3
bank	n	2	wordlist-1,wordlist-2
barely	adv	2	wordlist-2,wordlist-3
bark	n	1	wordlist-2
barn	n	1	wordlist-3
basic	adj	2	wordlist-1,wordlist-2
basically	adv	1	wordlist-2
basis	n	1	wordlist-3
basket	n	2	wordlist-1,wordlist-2
bath	n	2	wordlist-1,wordlist-2
bathroom	n	2	wordlist-1,wordlist-2
battery	n	1	wordlist-1
battle	n	1	wordlist-2
battle	v	1	wordlist-2
be	aux	3	wordlist-1,wordlist-2,wordlist-3
be	v	3	wordlist-1,wordlist-2,wordlist-3
beach	n	1	wordlist-1
beak	n	2	wordlist-2,wordlist-3
bean	n	2	wordlist-1,wordlist-3
bear	n	1	wordlist-2
bear	v	1	wordlist-2
beard	n	1	wordlist-3
beat	n	3	wordlist-1,wordlist-2,wordlist-3
beat	v	3	wordlist-1,wordlist-2,wordlist-3
beautiful	adj	3	wordlist-1,wordlist-2,wordlist-3
beauty	n	3	wordlist-1,wordlist-2,wordlist-3
because	conj	3	wordlist-1,wordlist-2,wordlist-3
become	v	3	wordlist-1,wordlist-2,wordlist-3
bed	n	2	wordlist-1,wordlist-2
bedroom	n	2	wordlist-1,wordlist-2
bee	n	1	wordlist-2
beer	n	2	wordlist-1,wordlist-3
before	adv	2	wordlist-1,wordlist-2
before	conj	3	wordlist-1,wordlist-2,wordlist-3
before	prep	3	wordlist-1,wordlist-2,wordlist-3
begin	v	3	wordlist-1,wordlist-2,wordlist-3
beginning	n	3	wordlist-1,wordlist-2,wordlist-3
behavior	n	2	wordlist-1,wordlist-3
behaviour	n	2	wordlist-1,wordlist-2
behind	adv	1	wordlist-2
behind	prep	3	wordlist-1,wordlist-2,wordlist-3
belief	n	3	wordlist-1,wordlist-2,wordlist-3
believe	v	3	wordlist-1,wordlist-2,wordlist-3
belong	v	2	wordlist-1,wordlist-2
belong to	phrv	2	wordlist-2,wordlist-3
belongings	n	1	wordlist-3
below	adv	1	wordlist-3
below	prep	3	wordlist-1,wordlist-2,wordlist-3
belt	n	3	wordlist-1,wordlist-2,wordlist-3
bench	n	1	wordlist-3
bend	n	1	wordlist-2
bend	v	3	wordlist-1,wordlist-2,wordlist-3
benefit	n	2	wordlist-1,wordlist-3
benefit	v	1	wordlist-3
bent	adj	1	wordlist-1
berry	n	1	wordlist-3
beside	prep	3	wordlist-1,wordlist-2,wordlist-3
between	prep	3	wordlist-1,wordlist-2,wordlist-3
beyond	prep	3	wordlist-1,wordlist-2,wordlist-3
bicycle	n	1	wordlist-2
big	adj	3	wordlist-1,wordlist-2,wordlist-3
bike	n	2	wordlist-1,wordlist-3
bill	n	2	wordlist-1,wordlist-2
bill	v	1	wordlist-1
bin	n	1	wordlist-1
bind	v	1	wordlist-2
bio-	comb	2	wordlist-1,wordlist-2
bird	n	2	wordlist-2,wordlist-3
birth	n	3	wordlist-1,wordlist-2,wordlist-3
birthday	n	1	wordlist-2
bit	n	1	wordlist-3
bite	n	1	wordlist-1
bite	v	2	wordlist-1,wordlist-3
bitter	adj	2	wordlist-2,wordlist-3
black	adj	2	wordlist-2,wordlist-3
blade	n	1	wordlist-1
blame	n	1	wordlist-3
blame	v	1	wordlist-3
blanket	n	1	wordlist-2
bleed	v	3	wordlist-1,wordlist-2,wordlist-3
bless you	phr	1	wordlist-3
blind	adj	3	wordlist-1,wordlist-2,wordlist-3
block	n	1	wordlist-3
blonde	adj	1	wordlist-3
blood	n	3	wordlist-1,wordlist-2,wordlist-3
blow	v	2	wordlist-1,wordlist-2
blue	adj	2	wordlist-2,wordlist-3
blunt	adj	1	wordlist-1
blvd	abbr	1	wordlist-3
board	n	1	wordlist-2
board	v	2	wordlist-1,wordlist-2
boat	n	3	wordlist-1,wordlist-2,wordlist-3
body	n	3	wordlist-1,wordlist-2,wordlist-3
boil	v	3	wordlist-1,wordlist-2,wordlist-3
bold	adj	1	wordlist-2
bomb	n	1	wordlist-1
bone	n	3	wordlist-1,wordlist-2,wordlist-3
book	n	3	wordlist-1,wordlist-2,wordlist-3
boot	n	2	wordlist-1,wordlist-2
bore	v	3	wordlist-1,wordlist-2,wordlist-3
bored	adj	3	wordlist-1,wordlist-2,wordlist-3
born	adj	3	wordlist-1,wordlist-2,wordlist-3
borrow	v	1	wordlist-2
boss	n	3	wordlist-1,wordlist-2,wordlist-3
both	conj	1	wordlist-3
both	det	3	wordlist-1,wordlist-2,wordlist-3
both	pron	2	wordlist-1,wordlist-2
bottle	n	2	wordlist-1,wordlist-2
bottom	n	3	wordlist-1,wordlist-2,wordlist-3
bowl	n	3	wordlist-1,wordlist-2,wordlist-3
box	n	2	wordlist-1,wordlist-2
boy	n	3	wordlist-1,wordlist-2,wordlist-3
bra	n	1	wordlist-1
brain	n	3	wordlist-1,wordlist-2,wordlist-3
branch	n	2	wordlist-1,wordlist-2
brave	adj	3	wordlist-1,wordlist-2,wordlist-3
bravo	interj	1	wordlist-3
bread	n	2	wordlist-1,wordlist-3
break	n	3	wordlist-1,wordlist-2,wordlist-3
break	v	3	wordlist-1,wordlist-2,wordlist-3
break down	phrv	3	wordlist-1,wordlist-2,wordlist-3
break out	phrv	1	wordlist-2
break up	phrv	3	wordlist-1,wordlist-2,wordlist-3
breakfast	n	3	wordlist-1,wordlist-2,wordlist-3
breath	n	1	wordlist-2
breathe	v	2	wordlist-1,wordlist-2
breed	n	1	wordlist-2
breed	v	2	wordlist-2,wordlist-3
bridge	n	3	wordlist-1,wordlist-2,wordlist-3
brief	adj	1	wordlist-3
briefly	adv	1	wordlist-2
bright	adj	3	wordlist-1,wordlist-2,wordlist-3
bring	v	3	wordlist-1,wordlist-2,wordlist-3
bring about	phrv	1	wordlist-2
bring back	phrv	1	wordlist-1
bring up	phrv	3	wordlist-1,wordlist-2,wordlist-3
bring up	v	1	wordlist-2
broom	n	1	wordlist-1
brother	n	3	wordlist-1,wordlist-2,wordlist-3
brother-in-law	n	1	wordlist-3
brown	adj	1	wordlist-2
browser	n	1	wordlist-1
bruise	n	2	wordlist-1,wordlist-3
brush	n	3	wordlist-1,wordlist-2,wordlist-3
brush	v	3	wordlist-1,wordlist-2,wordlist-3
bucket	n	1	wordlist-2
bug	n	1	wordlist-2
build	v	3	wordlist-1,wordlist-2,wordlist-3
building	n	3	wordlist-1,wordlist-2,wordlist-3
bull	n	1	wordlist-2
burn	n	3	wordlist-1,wordlist-2,wordlist-3
burn	v	3	wordlist-1,wordlist-2,wordlist-3
burn down	phrv	1	wordlist-2
bury	v	1	wordlist-2
bus	n	3	wordlist-1,wordlist-2,wordlist-3
bush	n	2	wordlist-2,wordlist-3
business	n	2	wordlist-1,wordlist-2
busy	adj	3	wordlist-1,wordlist-2,wordlist-3
but	conj	3	wordlist-1,wordlist-2,wordlist-3
but	prep	1	wordlist-1
butter	n	2	wordlist-1,wordlist-3
button	n	3	wordlist-1,wordlist-2,wordlist-3
button	v	2	wordlist-1,wordlist-2
buy	v	3	wordlist-1,wordlist-2,wordlist-3
buyer	n	1	wordlist-1
by	prep	3	wordlist-1,wordlist-2,wordlist-3
bye	interj	3	wordlist-1,wordlist-2,wordlist-3
cabinet	n	1	wordlist-1
cable	n	1	wordlist-1
cake	n	2	wordlist-1,wordlist-3
calculate	v	1	wordlist-1
calendar	n	2	wordlist-1,wordlist-3
call	v	3	wordlist-1,wordlist-2,wordlist-3
call off	phrv	2	wordlist-2,wordlist-3
call up	phrv	1	wordlist-1
calm	adj	3	wordlist-1,wordlist-2,wordlist-3
calm	n	1	wordlist-1
calm	v	3	wordlist-1,wordlist-2,wordlist-3
calm down	phrv	1	wordlist-3
camera	n	2	wordlist-1,wordlist-2
can	modal	3	wordlist-1,wordlist-2,wordlist-3
cancer	n	2	wordlist-1,wordlist-3
candy	n	1	wordlist-3
capital	n	1	wordlist-1
car	n	3	wordlist-1,wordlist-2,wordlist-3
card	n	1	wordlist-2
care	n	3	wordlist-1,wordlist-2,wordlist-3
care	v	3	wordlist-1,wordlist-2,wordlist-3
care for	v	1	wordlist-2
career	n	1	wordlist-2
careful	adj	3	wordlist-1,wordlist-2,wordlist-3
carefully	adv	3	wordlist-1,wordlist-2,wordlist-3
careless	adj	3	wordlist-1,wordlist-2,wordlist-3
carpet	n	2	wordlist-1,wordlist-2
carry	v	3	wordlist-1,wordlist-2,wordlist-3
carry on	phrv	3	wordlist-1,wordlist-2,wordlist-3
carry out	phrv	1	wordlist-2
cartoon	n	1	wordlist-1
case	n	2	wordlist-1,wordlist-3
cash	n	2	wordlist-1,wordlist-2
cat	n	1	wordlist-2
catch	n	1	wordlist-2
catch	v	3	wordlist-1,wordlist-2,wordlist-3
catch up	phrv	2	wordlist-2,wordlist-3
cattle	n	1	wordlist-3
cause	n	3	wordlist-1,wordlist-2,wordlist-3
cause	v	3	wordlist-1,wordlist-2,wordlist-3
cave	n	1	wordlist-1
ceiling	n	1	wordlist-2
celebrate	v	1	wordlist-3
cell	n	1	wordlist-3
center	n	2	wordlist-2,wordlist-3
central	adj	1	wordlist-1
centre	n	1	wordlist-1
century	n	2	wordlist-2,wordlist-3
certain	adj	3	wordlist-1,wordlist-2,wordlist-3
certainly	adv	3	wordlist-1,wordlist-2,wordlist-3
chain	n	1	wordlist-2
chair	n	3	wordlist-1,wordlist-2,wordlist-3
chance	n	2	wordlist-1,wordlist-3
change	n	3	wordlist-1,wordlist-2,wordlist-3
change	v	3	wordlist-1,wordlist-2,wordlist-3
chapter	n	1	wordlist-1
character	n	3	wordlist-1,wordlist-2,wordlist-3
charge	n	2	wordlist-1,wordlist-2
charge	v	2	wordlist-1,wordlist-2
charm	n	1	wordlist-3
cheap	adj	2	wordlist-1,wordlist-2
check	n	1	wordlist-1
check	v	2	wordlist-1,wordlist-2
check out	phrv	2	wordlist-2,wordlist-3
cheers	interj	1	wordlist-3
cheese	n	2	wordlist-1,wordlist-3
chemical	adj	1	wordlist-2
chemical	n	1	wordlist-2
cheque	n	1	wordlist-2
chest	n	3	wordlist-1,wordlist-2,wordlist-3
chew	v	2	wordlist-1,wordlist-3
chicken	n	3	wordlist-1,wordlist-2,wordlist-3
child	n	3	wordlist-1,wordlist-2,wordlist-3
choice	n	3	wordlist-1,wordlist-2,wordlist-3
choose	v	3	wordlist-1,wordlist-2,wordlist-3
chop	v	2	wordlist-1,wordlist-3
church	n	3	wordlist-1,wordlist-2,wordlist-3
cinema	n	1	wordlist-3
circle	n	2	wordlist-1,wordlist-2
citizen	n	3	wordlist-1,wordlist-2,wordlist-3
city	n	2	wordlist-1,wordlist-3
claim	n	1	wordlist-2
claim	v	1	wordlist-2
class	n	2	wordlist-1,wordlist-2
classmate	n	1	wordlist-3
claw	n	2	wordlist-2,wordlist-3
clay	n	2	wordlist-2,wordlist-3
clean	adj	3	wordlist-1,wordlist-2,wordlist-3
clean	n	1	wordlist-1
clean	v	3	wordlist-1,wordlist-2,wordlist-3
clean up	phrv	2	wordlist-2,wordlist-3
clear	adj	3	wordlist-1,wordlist-2,wordlist-3
clear	v	1	wordlist-2
clear up	phrv	1	wordlist-2
clearly	adv	3	wordlist-1,wordlist-2,wordlist-3
clever	adj	3	wordlist-1,wordlist-2,wordlist-3
client	n	1	wordlist-1
climate	n	1	wordlist-2
climb	v	2	wordlist-1,wordlist-2
clinic	n	2	wordlist-1,wordlist-3
clock	n	3	wordlist-1,wordlist-2,wordlist-3
close	adj	3	wordlist-1,wordlist-2,wordlist-3
close	adv	1	wordlist-2
close	v	3	wordlist-1,wordlist-2,wordlist-3
closed	adj	3	wordlist-1,wordlist-2,wordlist-3
closely	adv	1	wordlist-2
closet	n	2	wordlist-1,wordlist-2
cloth	n	3	wordlist-1,wordlist-2,wordlist-3
clothes	n	3	wordlist-1,wordlist-2,wordlist-3
cloud	n	2	wordlist-1,wordlist-2
club	n	1	wordlist-1
cm	abbr	2	wordlist-1,wordlist-2
co	abbr	1	wordlist-3
co-	prefix	2	wordlist-1,wordlist-2
coast	n	2	wordlist-1,wordlist-2
coat	n	3	wordlist-1,wordlist-2,wordlist-3
code	n	1	wordlist-1
code	v	1	wordlist-1
coffee	n	2	wordlist-1,wordlist-3
coin	n	2	wordlist-1,wordlist-2
cold	adj	3	wordlist-1,wordlist-2,wordlist-3
cold	n	2	wordlist-1,wordlist-3
coldness	n	1	wordlist-3
colleague	n	1	wordlist-3
collect	v	1	wordlist-2
college	n	1	wordlist-2
color	n	1	wordlist-3
color	v	1	wordlist-3
colour	n	3	wordlist-1,wordlist-2,wordlist-3
colour	v	1	wordlist-3
comb	n	3	wordlist-1,wordlist-2,wordlist-3
comb	v	2	wordlist-1,wordlist-2
come	v	3	wordlist-1,wordlist-2,wordlist-3
come along	phrv	1	wordlist-1
come back	phrv	3	wordlist-1,wordlist-2,wordlist-3
come from	phrv	2	wordlist-1,wordlist-2
come in	phrv	3	wordlist-1,wordlist-2,wordlist-3
come on	phrv	1	wordlist-3
come out	phrv	1	wordlist-1
come over	phrv	1	wordlist-1
come up with	phrv	1	wordlist-3
comfort	n	3	wordlist-1,wordlist-2,wordlist-3
comfort	v	3	wordlist-1,wordlist-2,wordlist-3
comfortable	adj	3	wordlist-1,wordlist-2,wordlist-3
comic	n	1	wordlist-1
commerce	n	1	wordlist-2
commercial	adj	1	wordlist-2
common	adj	2	wordlist-1,wordlist-2
commonly	adv	1	wordlist-2
communicate	v	1	wordlist-2
community	n	3	wordlist-1,wordlist-2,wordlist-3
companion	n	1	wordlist-2
company	n	2	wordlist-1,wordlist-2
compare	v	2	wordlist-1,wordlist-2
comparison	n	3	wordlist-1,wordlist-2,wordlist-3
compete	v	1	wordlist-2
competition	n	2	wordlist-1,wordlist-2
complete	adj	2	wordlist-1,wordlist-2
completely	adv	2	wordlist-2,wordlist-3
complex	adj	2	wordlist-1,wordlist-2
compost	n	1	wordlist-3
computer	n	1	wordlist-1
concerning	prep	1	wordlist-3
concert	n	1	wordlist-3
conclude	v	1	wordlist-3
conclusion	n	1	wordlist-3
condition	n	3	wordlist-1,wordlist-2,wordlist-3
confidence	n	2	wordlist-1,wordlist-2
confident	adj	2	wordlist-1,wordlist-2
conflict	n	1	wordlist-3
confuse	v	2	wordlist-1,wordlist-2
confused	adj	2	wordlist-1,wordlist-3
confusion	n	2	wordlist-2,wordlist-3
congratulations	interj	1	wordlist-3
congress	n	1	wordlist-3
connect	v	2	wordlist-1,wordlist-2
connected	adj	1	wordlist-2
connection	n	2	wordlist-1,wordlist-3
conscious	adj	3	wordlist-1,wordlist-2,wordlist-3
consciousness	n	1	wordlist-3
consider	v	3	wordlist-1,wordlist-2,wordlist-3
considering	prep	1	wordlist-3
consist	v	1	wordlist-2
consist of	phrv	1	wordlist-2
constitution	n	1	wordlist-3
contain	v	2	wordlist-1,wordlist-2
container	n	1	wordlist-1
contest	n	1	wordlist-1
continue	v	2	wordlist-1,wordlist-2
contract	n	1	wordlist-1
contract	v	1	wordlist-1
control	n	3	wordlist-1,wordlist-2,wordlist-3
control	v	3	wordlist-1,wordlist-2,wordlist-3
convenient	adj	1	wordlist-2
conversation	n	2	wordlist-1,wordlist-2
cook	n	1	wordlist-1
cook	v	3	wordlist-1,wordlist-2,wordlist-3
cooked	adj	1	wordlist-1
cool	adj	3	wordlist-1,wordlist-2,wordlist-3
cool	v	3	wordlist-1,wordlist-2,wordlist-3
copy	n	2	wordlist-1,wordlist-2
copy	v	2	wordlist-1,wordlist-2
corn	n	2	wordlist-2,wordlist-3
corner	n	3	wordlist-1,wordlist-2,wordlist-3
correct	adj	2	wordlist-1,wordlist-2
correct	v	1	wordlist-2
correctly	adv	1	wordlist-2
cost	n	2	wordlist-1,wordlist-2
cost	v	2	wordlist-1,wordlist-2
cotton	n	1	wordlist-2
cough	n	2	wordlist-2,wordlist-3
cough	v	2	wordlist-1,wordlist-2
could	modal	2	wordlist-2,wordlist-3
council	n	1	wordlist-3
count	v	1	wordlist-1
country	n	3	wordlist-1,wordlist-2,wordlist-3
couple	n	3	wordlist-1,wordlist-2,wordlist-3
courage	n	3	wordlist-1,wordlist-2,wordlist-3
course	n	1	wordlist-2
court	n	3	wordlist-1,wordlist-2,wordlist-3
cousin	n	3	wordlist-1,wordlist-2,wordlist-3
cover	n	1	wordlist-2
cover	v	2	wordlist-1,wordlist-2
cow	n	1	wordlist-2
cowardly	adj	1	wordlist-1
crack	n	1	wordlist-2
crack	v	1	wordlist-2
crash	n	3	wordlist-1,wordlist-2,wordlist-3
crash	v	3	wordlist-1,wordlist-2,wordlist-3
create	v	2	wordlist-2,wordlist-3
creative	adj	2	wordlist-1,wordlist-3
creature	n	1	wordlist-2
credit	n	2	wordlist-1,wordlist-2
crime	n	3	wordlist-1,wordlist-2,wordlist-3
criminal	adj	3	wordlist-1,wordlist-2,wordlist-3
criminal	n	3	wordlist-1,wordlist-2,wordlist-3
crop	n	2	wordlist-2,wordlist-3
cross	n	1	wordlist-1
cross	v	3	wordlist-1,wordlist-2,wordlist-3
crossing	n	1	wordlist-1
crowd	n	2	wordlist-2,wordlist-3
crowded	adj	1	wordlist-3
cruel	adj	3	wordlist-1,wordlist-2,wordlist-3
cruelty	n	2	wordlist-1,wordlist-3
crush	v	1	wordlist-1
crutch	n	1	wordlist-3
cry	n	1	wordlist-2
cry	v	1	wordlist-2
cup	n	3	wordlist-1,wordlist-2,wordlist-3
cupboard	n	1	wordlist-1
cure	n	1	wordlist-2
cure	v	3	wordlist-1,wordlist-2,wordlist-3
curious	adj	1	wordlist-2
curly	adj	1	wordlist-3
current	adj	1	wordlist-1
curtain	n	2	wordlist-1,wordlist-2
curved	adj	2	wordlist-2,wordlist-3
custom	n	1	wordlist-2
customer	n	2	wordlist-1,wordlist-2
cut	n	3	wordlist-1,wordlist-2,wordlist-3
cut	v	3	wordlist-1,wordlist-2,wordlist-3
cut down	phrv	1	wordlist-2
cut off	phrv	2	wordlist-2,wordlist-3
cute	adj	1	wordlist-3
cycle	v	1	wordlist-3
daily	adj	3	wordlist-1,wordlist-2,wordlist-3
daily	adv	2	wordlist-1,wordlist-2
damage	n	3	wordlist-1,wordlist-2,wordlist-3
damage	v	2	wordlist-2,wordlist-3
damn	interj	1	wordlist-3
dance	n	3	wordlist-1,wordlist-2,wordlist-3
dance	v	3	wordlist-1,wordlist-2,wordlist-3
dancer	n	1	wordlist-1
danger	n	2	wordlist-2,wordlist-3
dangerous	adj	2	wordlist-1,wordlist-2
dangerously	adv	1	wordlist-2
dare	modal	1	wordlist-2
dark	adj	3	wordlist-1,wordlist-2,wordlist-3
dark	n	2	wordlist-2,wordlist-3
