headword	pos	band	source	status	added	note
confident	adj	1	defining	pending	2026-09-16	votes 2
conflict	n	1	defining	pending	2026-09-16	votes 1
confuse	v	1	defining	pending	2026-09-16	votes 2
confused	adj	1	defining	pending	2026-09-16	votes 2
confusion	n	1	defining	pending	2026-09-16	votes 2
congratulations	interj	1	defining	pending	2026-09-16	votes 1
connect	v	1	defining	pending	2026-09-16	votes 2
connected	adj	1	defining	pending	2026-09-16	votes 1
connection	n	1	defining	pending	2026-09-16	votes 2
conscious	adj	1	defining	pending	2026-09-16	votes 3
consider	v	1	defining	pending	2026-09-16	votes 3
consist	v	1	defining	pending	2026-09-16	votes 1
consist of	phrv	1	defining	pending	2026-09-16	votes 1
contain	v	1	defining	pending	2026-09-16	votes 2
container	n	1	defining	pending	2026-09-16	votes 1
contest	n	1	defining	pending	2026-09-16	votes 1
continue	v	1	defining	pending	2026-09-16	votes 2; referenced by run-v
contract	n	1	defining	pending	2026-09-16	votes 1
control	n	1	defining	pending	2026-09-16	votes 3; referenced by hand-n
control	v	1	defining	pending	2026-09-16	votes 3
convenient	adj	1	defining	pending	2026-09-16	votes 1
conversation	n	1	defining	pending	2026-09-16	votes 2; referenced by talk-v
cook	v	1	defining	pending	2026-09-16	votes 3
cooked	adj	3	defining	pending	2026-09-16	votes 1; panel median 3, secondary part of speech
cool	adj	1	defining	pending	2026-09-16	votes 3
cool	v	1	defining	pending	2026-09-16	votes 3
copy	n	1	defining	pending	2026-09-16	votes 2
copy	v	1	defining	pending	2026-09-16	votes 2; referenced by borrow-v
corn	n	1	defining	pending	2026-09-16	votes 2
corner	n	1	defining	pending	2026-09-16	votes 3
correct	adj	1	defining	pending	2026-09-16	votes 2
correctly	adv	1	defining	pending	2026-09-16	votes 1
cost	n	1	defining	pending	2026-09-16	votes 2
cost	v	1	defining	pending	2026-09-16	votes 2
cotton	n	1	defining	pending	2026-09-16	votes 1
cough	n	1	defining	pending	2026-09-16	votes 2
cough	v	1	defining	pending	2026-09-16	votes 2
could	modal	1	defining	pending	2026-09-16	votes 2; referenced by can-modal
council	n	1	defining	pending	2026-09-16	votes 1
count	v	1	defining	pending	2026-09-16	votes 1
country	n	1	defining	pending	2026-09-16	votes 3
couple	n	1	defining	pending	2026-09-16	votes 3
courage	n	1	defining	pending	2026-09-16	votes 3
course	n	1	defining	pending	2026-09-16	votes 1
court	n	1	defining	pending	2026-09-16	votes 3
cousin	n	1	defining	pending	2026-09-16	votes 3
cover	v	1	defining	pending	2026-09-16	votes 2
cow	n	1	defining	pending	2026-09-16	votes 1
crack	n	1	defining	pending	2026-09-16	votes 1
crash	n	1	defining	pending	2026-09-16	votes 3
crash	v	1	defining	pending	2026-09-16	votes 3
create	v	1	defining	pending	2026-09-16	votes 2; referenced by make-v
creative	adj	1	defining	pending	2026-09-16	votes 2
creature	n	1	defining	pending	2026-09-16	votes 1; referenced by thing-n
credit	n	1	defining	pending	2026-09-16	votes 2
crime	n	1	defining	pending	2026-09-16	votes 3; referenced by police-n
criminal	adj	1	defining	pending	2026-09-16	votes 3
